Date,Year,Type,Country,Iso_alpha_3,State,Location,Latitude,Longitude,Activity,Sex,Injury,Fatal,Species 
18-Jun-24,1924,Provoked,USA,USA,Florida,"Bayboro, Pinellas County",27.7591785,-82.6324627,Removing shark from a net,M,Netted shark made a5-inch incision above the knee PROVOKED INCIDENT,N,
18-Nov-28,1928,Provoked,USA,USA,New Jersey,"Seabright, Monmouth County",40.3614832,-73.972169,Fishing,M,"Fishermen were cut & bruised by netted, harpooned and gaffed  sharks PROVOKED INCIDENT",N,"""Blue nose sharks"""
23-Jun-29,1929,Provoked,USA,USA,Florida,"Fort Pierce, St Lucie County",27.4467056,-80.3256056,Fishing,M,Leg bitten by hooked shark PROVOKED INCIDENT,N,9-foot shark
1929,1929,Provoked,USA,USA,Florida,Indian River area,49.5565274,-122.9294604,Fishing,M,Thigh lacerated by hooked shark PROVOKED INCIDENT,N,9' shark
13-Jun-31,1931,Provoked,USA,USA,Hawaii,"Pearl Harbor, O'ahu",,,Gaffing & attempting to bring onboard a harpooned shark,M,Tip of finger amputated PROVOKED INCIDENT,N,"Tiger shark, 3 m [10']"
28-Jun-32,1932,Provoked,USA,USA,New Jersey,"10 miles offshore from Sea Isle City, Cape May County",,,Fishing,M,Knee bitten by boated shark PROVOKED INCIDENT,N,"250-lb ""dog shark"""
26-Jun-32,1932,Provoked,USA,USA,New Jersey,"Off Ocean City, Cape May County",,,Fishing,M,Ankle broken when 500-lb boated shark lashed him with its tail PROVOKED INCIDENT,N,
10-Aug-32,1932,Provoked,USA,USA,New Jersey,"Offshore, between Mantoloking & Point Pleasant, Ocean County",,,Fishing,M,Hooked shark gashed right leg      PROVOKED INCIDENT,N,16' 800-lb shark
28-Aug-33,1933,Provoked,USA,USA,California,"Hermosa Beach, Los Angeles County",33.8637822,-118.3992143,"Fishing, caught a 15' shark & took it onboard",M,Severely lacerated arm PROVOKED INCIDENT,N,"Blue shark, 4.5 m [14'9""]"
30-Mar-36,1936,Provoked,USA,USA,Florida,"Miami, Miami-Date County",,,Fishing,M,No injury. His hand entangled in line of hooked shark. He was pulled overboard & towed 150' PROVOKED INCIDENT ,N,650-lb shark
30-May-37,1937,Provoked,USA,USA,Texas,Galveston,29.3056996,-94.7933252,Fishing,M,Leg nipped by hooked shark PROVOKED INCIDENT,N,4' shark
18-Aug-38,1938,Provoked,USA,USA,California,"Near Encino, Los Angeles County",,,Fishing,M,Lacerations to hand by hooked shark PROVOKED INCIDENT,N,
1938,1938,Provoked,USA,USA,North Carolina,On one of the sounds near Wilmington,,,Fishing,M,"No injury, boat towed by harpooned shark, PROVOKED INCIDENT",N,
17-Jul-38,1938,Provoked,USA,USA,California,"Dana Point, Orange County",33.4669721,-117.6981075,"Fishing, removing gaff from shark's mouth",M,Leg bitten by gaffed shark PROVOKED INCIDENT,N,
01-Aug-39,1939,Provoked,USA,USA,California,"Off San Pedro, Los Angeles County",33.7386609,-118.2840161,Fishing,M,Harpooned shark bit his arm PROVOKED INCIDENT,N,
14-Jul-39,1939,Provoked,USA,USA,Texas,"West Bay, 19 miles from Galveston",,,Seine netting,M,Leg bitten by snared shark PROVOKED INCIDENT,N,18' shark
15-Jun-41,1941,Provoked,USA,USA,New York,15 miles south of Jones Inlet,,,Fishing from 32' boat,M,Left hand bitten as he tried to put rope around shark's tail PROVOKED INCIDENT,N,2.1 m [7'] shark
01-Jul-41,1941,Provoked,USA,USA,Hawaii,"Nankuli, O'ahu",,,Fishing,M,Arm bitten while removing shark from fishing line PROVOKED INCIDENT,N,100-lb shark
Reported 21-Aug-1941,1941,Provoked,USA,USA,New York,Montauk,41.0347223,-71.9442623,Fishing,,Laceration to left forearm from hooked shark PROVOKED INCIDENT,N,
09-Mar-41,1941,Provoked,USA,USA,California,"Santa Monica, Los Angeles County",34.0194704,-118.491227,Fishing,M,Right hand bitten by boated shark PROVOKED INCIDENT,N,Mako shark (aka bonito shark) 1.2 m [4'] 
02-Dec-44,1944,Provoked,USA,USA,Florida,3 miles north of the inlet at Palm Beach,,,Fishing for mackerel,,"No injury to occupants. After being prodded with an oar, shark struck bow and sank boat PROVOKED INCIDENT",N,"Tiger shark, 4.5 to 5.5 m [14'9"" to 18'], 2000-lb  "
Reported 27-Jul-1947,1947,Provoked,USA,USA,California,"Santa Monica, Los Angeles County",34.0194704,-118.491227,Fishing,M,PROVOKED INCIDENT,N,a small shark
Summer 1948,1948,Provoked,USA,USA,Florida,Biscayne Bay,25.5659397,-80.2164388,Underwater photography,M,Grabbed shark by the tail & it bit him PROVOKED INCIDENT,N,Nurse shark
16-Jul-49,1949,Provoked,USA,USA,California,"10 miles off Redondo Beach, Los Angeles County",,,Fishing,M,Right hand bitten by hooked shark being pulled onboard PROVOKED INCIDENT,N,"Bonita sharkk, 200-lb"
27-Jul-52,1952,Provoked,USA,USA,South Carolina,Seabrook Beach,42.88229745,-70.81495027,Fishing,M,Finger bitten by hooked shark PROVOKED INCIDENT,N,a small shark'
27-Jul-52,1952,Provoked,USA,USA,South Carolina,Seabrook Beach,42.88229745,-70.81495027,Fishing,M,Thumb bitten by hooked shark PROVOKED INCIDENT,N,a small shark'
13-Jul-52,1952,Provoked,USA,USA,California,"San Diego, San Diego County",32.7169643,-117.1700668,Fishing,M,Part of hand removed by shark he had caught PROVOKED INCIDENT,N,
18-Feb-53,1953,Provoked,USA,USA,Hawaii,"Barber’s Point, O'ahu",,,Bitten while cutting shark from net,M,Hand bitten  PROVOKED INCIDENT  ,N,
Reported 03-Sep-1953,1953,Provoked,USA,USA,New York,Rockaway Beach,45.613598,-123.943147,Surf fishing,M,Laceration to right lower leg,N,80-lb sand shark
16-Jul-53,1953,Provoked,USA,USA,California,"Santa Catalina Island, Los Angeles County",33.38890375,-118.4239288,Fishing from market fishboat Sea Spray,M,Arm bitten by hooked shark PROVOKED INCIDENT,N,
14-Aug-54,1954,Provoked,USA,USA,New Jersey,"Barnegat Light, Ocean County",39.7537149,-74.1088188,Surf fishing,M,Right leg bitten when chasing shark from his fishing line PROVOKED INCIDENT,N,"""sand shark"""
29-Jun-54,1954,Provoked,USA,USA,California,"Santa Monica, Los Angeles County",34.0194704,-118.491227,Grabbed shark & threw it on deck,M,Right elbow & forearm lacerated  PROVOKED INCIDENT,N,
Reported 04-Aug-1955,1955,Provoked,USA,USA,South Carolina,Windy Hill Beach,33.7936159,-78.7301108,Fishing,M,Finger bitten by hooked shark PROVOKED INCIDENT,N,"""a small shark"""
08-May-55,1955,Provoked,USA,USA,California,"Malibu, Los Angeles County",34.03849045,-118.6864043,Spearfishing,M,Diver hit shark & right forearm slightly injured PROVOKED INCIDENT,N,2 m [6.75'] shark
30-Aug-55,1955,Provoked,USA,USA,California,"Zuma Beach, Santa Monica, Los Angeles County",,,Surfing,M,"Surfer grabbed shark, which turned & bit him and 2 lifeguards PROVOKED INCIDENT",N,5' thresher or blue shark. The shark  was killed following the incident
28-Jul-56,1956,Provoked,USA,USA,Puerto Rico,Aquadilla,26.545582,-80.11505,Floating in inner tube,M,FATAL. His brother speared a shark which then attacked Jose & severed his leg at knee. PROVOKED INCIDENT  ,Y,
26-Jul-56,1956,Provoked,USA,USA,California,"Van Ness Municipal Pier, San Francisco",,,Fishing,M,Finger bitten by hooked shark PROVOKED INCIDENT,N,8-lb shark
1956,1956,Provoked,USA,USA,Virginia,"Virginia Beach, Princess Anne County",,,Removing shark from net ,M,Punctures on shin & calf PROVOKED INCIDENT,N,40-lb sand shark
Aug-57,1957,Provoked,USA,USA,Florida,"Miami Seaquarium, Virginia Key, Miami, Miami-Dade County",,,Attempting to net shark in shark channel,M,Legs bitten PROVOKED INCIDENT,N,"2.7 m [9'] bull shark, identified by Capt. W. Gray"
24-Jul-57,1957,Provoked,USA,USA,California,"La Jolla, San Diego County",32.8709172,-117.209564,Spearfishing on Scuba,M,Diver jabbed shark with spear and it make a threat display. No injury PROVOKED INCIDENT,N,"Said to involve a 1 m  white shark, but thought  that it was more likely a blue shark"
22-Apr-57,1957,Provoked,USA,USA,Florida,"Ormond Beach, Volusia County",29.2854132,-81.0557921,Standing,M,Ankle injured by shark trapped in pool as it tried to get out PROVOKED INCIDENT  ,N,4 m [13'] shark
30-Apr-58,1958,Provoked,USA,USA,Florida,1 mile off Miami Beach,,,Free diving,M,"Grabbed shark’s tail, shark bit his thigh PROVOKED INCIDENT",N,"Nurse shark, 1.5 m [5'] "
01-Sept-58,1958,Provoked,USA,USA,New York,Staten Island,40.5724274,-74.14520078,Spearfishing,M,Bitten by harpooned shark PROVOKED INCIDENT,N,
02-Jul-58,1958,Provoked,USA,USA,Florida,"Siesta Key, Sarasota County",27.275596,-82.55616269,Free diving,M,"He grabbed shark, it bit his leg below the knee PROVOKED INCIDENT",N,"Nurse shark, 1.5 m [5']  identified by Dr. E. Clark on description of shark"
26-Jun-58,1958,Provoked,USA,USA,Florida,"Sanibel Island, Lee County",26.440359,-82.1137049,Wading,M,Right foot bitten when he walked into shark's head PROVOKED INCIDENT,N,"Nurse shark, 2.1 m [7']  identified by Dr. E. Clark on color & tooth impressions"
17-Jun-58,1958,Provoked,USA,USA,Florida,Key Biscayne,25.6968351,-80.1635261,"Swimming, towing the shark",M,Thigh bitten PROVOKED INCIDENT,N,"Nurse shark, 1.1 m [3.5'] "
01-Feb-58,1958,Provoked,USA,USA,US Virgin Islands,Water Island,40.6756548,-73.0292764,Spearfishing on Scuba,M,Chest bitten by speared shark PROVOKED INCIDENT,N,"Nurse shark, 1.5 m [5'] "
30-Jul-59,1959,Provoked,USA,USA,California,"In kelp beds off La Jolla, San Diego County",,,Pulling anchor,,"No injury to occupants, shark charged boat after being shot twice with pistol and speared PROVOKED INCIDENT",N,"White shark, 3 m to 5 m [10' to 15'] "
13-Aug-59,1959,Provoked,USA,USA,California,"LaJolla, San Diego County",,,"Spearfishing with Joe Turner (24). Shark attracted to speared halibut on belt of one diver, tried to bite Ide’s speargun & he shot it in the mouth",M,"No injury, PROVOKED INCIDENT",N,"Hammerhead shark, 9' "
14-Aug-59,1959,Provoked,USA,USA,South Carolina,Charleston,32.7884363,-79.9399309,Fishing,M,Laceration to forearm by boated shark PROVOKED INCIDENT,N,5.5' shark
23-Jul-59,1959,Provoked,USA,USA,California,"Venice Beach, Los Angeles County",33.97996005,-118.468771,Dragging stranded shark ashore,M,"Gietel grabbed the shark's tail, the shark lacerated his right ankle PROVOKED INCIDENT",N,"Blue shark, 1.8 m [6'] "
02-Jul-59,1959,Provoked,USA,USA,Florida,"Delray Beach, Palm Beach County",26.4614625,-80.0728201,Free diving,M,Arm bitten when he grabbed shark’s tail  PROVOKED INCIDENT,N,"Nurse shark, 60 cm [24""], identified by Dr. L.P. L. Schultz on photograph"
16-May-60,1960,Provoked,USA,USA,Florida,"Lignum Vitae Channel, Florida Keys, Monroe County",,,,,"No injury, harpooned shark bit hull, leaving tooth fragments. PROVOKED INCIDENT",N,"Lemon shark, 1.8 m [6'] male, N. breviostris, identified by W.A. Stark II, later the same day a 6'8"" pregnant female lemon shark bit the bow of the boat"
29-Jun-60,1960,Provoked,USA,USA,South Carolina,"Little River Beach, Horry County",,,Surf fishing,M,"Lacerations to calf, wrist & thumb by hooked shark. PROVOKED INCIDENT",N,7' shark
24-Sept-60,1960,Provoked,USA,USA,South Carolina,"Atlantic Beach, Horry County",33.802564,-78.7167719,Fishing inside net,M,"Multiple superficial lacerations of leg, arm & hand PROVOKED INCIDENT",N,"2.4 m [8'], 600-lb shark"
10-Aug-60,1960,Provoked,USA,USA,Florida,Key Largo Sound,25.110512,-80.40764,Holding shark on leader & dangling it above the water,M,Right hand bitten by hooked shark PROVOKED INCIDENT,N,"Lemon shark, 1164 mm, immature male, identified by  V.G. Springer"
03-Jul-60,1960,Provoked,USA,USA,Virginia,Hog Island,39.8656687,-75.2332378,"Fishing, tossing netted shark onboard",M,Right arm bitten  PROVOKED INCIDENT,N,"""sand shark"""
17-Feb-61,1961,Provoked,USA,USA,Pennsylvania,"Fairmount Park Aquarium, Philadelphia",,,Cleaning a tank,M,Thumb lacerated by captive shark PROVOKED INCIDENT,N,
26-Sept-61,1961,Provoked,USA,USA,Florida,"Florida Keys, Monroe County",24.6736205,-81.4981792,,M,Foot & lower leg abraded and lacerated when he kicked the shark PROVOKED INCIDENT,N,
29-Jul-61,1961,Provoked,USA,USA,New York,Whitewood Point on Lloyd Neck in Oyster Bay,,,Spearfishing,M,Puncture wound on right shin & fingers lacerated by speared shark PROVOKED INCIDENT,N,"43"" shark"
04-Jun-62,1962,Provoked,USA,USA,California,"12' tank at Steinhart Aquarium, San Francisco",,,"Scuba diving, attempting to catch a captive shark",M,Right forearm bitten PROVOKED INCIDENT,N," Sevengill  shark, 1.2 m [4'] "
19-Jul-62,1962,Provoked,USA,USA,California,30 miles south of San Clemente Island,,,Fishing for albacore,M,"2 lacerations on left hand by hooked shark, PROVOKED INCIDENT",N,Blue shark
29-Aug-62,1962,Provoked,USA,USA,California,"Solana Beach, San Diego County",32.99316,-117.2716254,Diving for abalone ,M,"Struck shark with abalone bar to scare it away from abalone, but shark bit his shoulder  PROVOKED INCIDENT",N,"Horn shar,k Heterodontus francisci, 1.2 m [4'] "
12-Nov-63,1963,Provoked,USA,USA,Florida,"8 miles south of Elliot Key, Miami-Dade County",,,Testing anti-shark cage,M,No injury PROVOKED INCIDENT,N,"Silky shark, 1.9 m [6.5']"
11-Jul-63,1963,Provoked,USA,USA,Mississippi,Horn Island,-10.60618815,142.2810533,"Fishing, on charter boat Silver Dollar",M,"Cuts on right hand, PROVOKED INCIDENT",N,1.2 m [4'] shark
